Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,75.900002,75.949997,74.529999,75.830002,1657700,74.715712
2015-10-15,74.059998,76.269997,73.150002,75.980003,2057000,74.86351
2015-10-14,74.830002,75.400002,73.110001,73.449997,1813200,72.370681
2015-10-13,76.769997,77.379997,73.889999,73.919998,2437100,72.833775
2015-10-12,76.279999,78.550003,75.610001,77.989998,1651900,76.843968
2015-10-09,75.160004,77.769997,75.160004,75.919998,2185000,74.804386
2015-10-08,75.730003,77.209999,74.919998,75.760002,1413900,74.646741
2015-10-07,74.690002,77.309998,72.889999,75.970001,2894600,74.853655
2015-10-06,80.550003,80.82,74.440002,74.529999,2874800,73.434812
2015-10-05,79.730003,81.699997,79.029999,80.910004,1408800,79.721066
2015-10-02,79.019997,79.370003,77.209999,79.260002,1207900,78.09531
2015-10-01,78.879997,80.489998,78.00,80.230003,1230100,79.051058
2015-09-30,79.07,80.150002,78.32,79.449997,1537800,78.282513
2015-09-29,78.080002,78.970001,76.760002,78.379997,1082000,77.228237
2015-09-28,80.410004,80.580002,77.449997,78.110001,1580400,76.962208
2015-09-25,79.839996,81.279999,79.260002,80.699997,1116700,79.514145
2015-09-24,79.480003,79.919998,78.360001,78.980003,1193300,77.819426
2015-09-23,78.650002,80.279999,78.650002,80.07,1104000,78.893405
2015-09-22,80.839996,81.760002,78.050003,78.650002,1439300,77.494273
2015-09-21,79.209999,82.169998,79.099998,82.089996,1951200,80.883719
2015-09-18,78.82,79.82,78.489998,78.739998,3717800,77.582947
2015-09-17,79.610001,80.599998,78.57,79.690002,1294200,78.518992
2015-09-16,79.599998,80.639999,78.389999,79.129997,1433400,77.967216
2015-09-15,81.050003,81.199997,79.269997,79.739998,1589700,78.568253
2015-09-14,81.809998,82.43,80.550003,80.739998,1400400,79.553558
2015-09-11,80.849998,82.00,80.75,81.870003,878900,80.666958
2015-09-10,82.089996,82.779999,80.989998,81.290001,1147200,80.095479
2015-09-09,82.00,82.43,80.57,81.769997,1439300,80.568422
2015-09-08,79.949997,81.309998,79.669998,81.239998,1350900,80.046211
2015-09-04,77.160004,79.849998,77.040001,78.580002,1058200,77.425302
2015-09-03,79.00,80.00,77.809998,78.07,1248200,76.922795
2015-09-02,76.089996,78.839996,75.620003,78.830002,1430600,77.671629
2015-09-01,73.650002,75.410004,73.650002,74.800003,1367000,73.700849
2015-08-31,75.889999,76.82,74.610001,74.860001,1339200,73.759965
2015-08-28,76.199997,76.849998,75.279999,75.809998,1262100,74.696002
2015-08-27,77.169998,77.690002,74.870003,76.239998,1395400,75.119684
2015-08-26,76.080002,76.669998,73.129997,76.32,1473100,75.19851
2015-08-25,75.870003,77.879997,74.309998,74.550003,1716900,73.454523
2015-08-24,70.029999,75.800003,58.919998,73.099998,2515900,72.025825
2015-08-21,77.650002,79.089996,76.129997,76.139999,1751700,75.021155
2015-08-20,80.040001,80.559998,78.699997,79.010002,1292300,77.848984
2015-08-19,80.75,82.00,80.50,80.989998,1376400,79.799885
2015-08-18,81.559998,82.150002,80.269997,81.510002,1116600,80.312248
2015-08-17,79.610001,81.75,79.099998,81.510002,1060400,80.312248
2015-08-14,78.580002,79.82,78.580002,79.599998,527200,78.430311
2015-08-13,78.480003,80.239998,78.029999,79.290001,1076700,77.927806
2015-08-12,79.269997,79.410004,76.440002,78.540001,1165300,77.190691
2015-08-11,78.239998,80.279999,78.169998,79.959999,1257200,78.586294
2015-08-10,78.629997,79.620003,78.220001,78.629997,928300,77.279141
2015-08-07,77.599998,78.370003,77.019997,77.989998,667900,76.650137
2015-08-06,80.089996,80.529999,76.879997,77.75,1061900,76.414262
2015-08-05,78.160004,79.610001,77.790001,79.029999,1438800,77.672271
2015-08-04,78.120003,78.419998,77.00,77.769997,930000,76.433915
2015-08-03,76.139999,78.32,76.010002,78.019997,1290500,76.67962
2015-07-31,75.360001,75.870003,74.410004,75.75,1186000,74.448622
2015-07-30,74.400002,75.279999,73.889999,75.160004,870000,73.868762
2015-07-29,74.360001,75.00,73.360001,74.779999,1310300,73.495285
2015-07-28,73.389999,74.470001,72.779999,74.32,1540200,73.043189
2015-07-27,73.389999,73.550003,72.550003,73.019997,1226900,71.76552
2015-07-24,74.489998,75.239998,73.449997,74.099998,1551600,72.826967
2015-07-23,76.879997,77.800003,72.610001,73.790001,2246900,72.522296
2015-07-22,74.459999,75.879997,74.459999,75.830002,1630700,74.527249
2015-07-21,74.220001,75.029999,73.970001,74.949997,1155700,73.662363
